target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,advanced,Corporate,30000,0,0,1,0.4390008961,30.982214238,3.324679991,0,0,8.5301594431,326
0,OTHER,elementary,Corporate,18328,0,1,0,,31.133243506,0.8565311775,0,0,9.9770791227,329
0,OTHER,advanced,Corporate,62389,0,0,1,0.28125,48.235616438,7.6328767123,1,3,3.2,331
0,OTHER,advanced,Corporate,15461,0,1,1,1.9888664875,28.535983232,1.7003667939,0,0,4.6455722734,337
0,OTHER,elementary,Corporate,212264,0,1,0,0.2512992832,29.732899169,3.1904334157,1,1,9.4287895801,341
0,OTHER,elementary,Corporate,212264,0,1,0,0.2512992832,29.732899169,3.1904334157,1,1,9.4287895801,342
0,OTHER,elementary,Corporate,26512,0,1,0,56.307549283,48.982027098,0.8724380567,0,1,3.8825136612,347
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,370
0,OTHER,elementary,Corporate,35761,0,1,,,29.170461861,1.0802979265,,,6.7205479452,371
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,374
0,2NDFL,elementary,,88617,0,0,0,0.6008960573,38.455835018,3.2065199491,0,0,10.576382963,378
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,OTHER,advanced,Corporate,62920,0,1,0,1.4121863799,48.854562467,12.186069317,0,0,3.8114754098,386
0,OTHER,elementary,Corporate,72981,0,1,0,21.173767921,35.909589041,9.4657534247,1,1,7.7780821918,390
0,OTHER,elementary,,30000,0,0,,,38.98630137,17.928767123,,,4.9629089004,394
0,OTHER,advanced,Corporate,27311,0,1,1,0.9863351254,30.592506924,1.0692192529,0,0,7.0856576091,395
0,OTHER,elementary,Corporate,161095,0,0,0,95.635035842,52.886990044,2.7232876712,1,1,7.7643835616,401
0,OTHER,elementary,,70000,0,0,0,1.0810483871,25.923287671,1.0565311775,1,1,5.904109589,403
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,elementary,Corporate,56862,0,1,0,21,40.620375777,15.391780822,0,0,9.7315068493,414
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,419
0,OTHER,elementary,Corporate,30631,0,1,1,1.1769489247,41.061000075,1.4582603488,0,0,0.5109289617,422
0,2NDFL,high,,31926,0,0,0,11.341845878,33.545205479,2.0849315068,2,2,3.7561643836,423
0,2NDFL,beginner,,87000,0,0,0,14.597603047,38.970252264,14.989430347,1,1,9.6113481548,428
0,OTHER,advanced,Corporate,14199,0,1,0,6.7000448029,40.521940265,6.719200539,0,0,9.927419717,431
0,OTHER,advanced,,140000,0,0,,,36.126027397,0.3397260274,,,3.6547945205,433
0,OTHER,elementary,Corporate,48092,0,1,,,43.665753425,1.2443296654,,,10.405479452,434
0,OTHER,elementary,Corporate,21108,0,1,1,1.3079749104,46.350250767,7.1584699454,0,0,1.2653192604,435
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,439
