;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8711;Форма банка (без печати работодателя);Покупка бытовой техники;1.0;0.48;мужской;0;0;высшее;менеджер среднего звена;< 50;0.0;69.0;51.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8712;Форма банка (без печати работодателя);Ремонт;1.0;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8713;2НДФЛ;Ремонт;0.0;0.53;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8714;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1.0;0.28;женский;2;0;высшее;менеджер среднего звена;>250;0.0;10.0;40.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8715;Форма банка (без печати работодателя);Покупка земли;1.0;0.45;мужской;0;0;высшее;менеджер высшего звена;>=150;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8716;Форма банка (без печати работодателя);Ремонт;0.0;0.38;мужской;1;0;высшее;специалист;< 50;0.0;11.0;35.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8717;2НДФЛ;Ремонт;1.0;0.12;мужской;2;0;высшее;рабочий;>250;3.0;12.0;41.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8718;2НДФЛ;Ремонт;1.0;0.45;мужской;1;0;высшее;специалист;>250;0.0;123.0;33.0;Другое;Государственное предприятие;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0747663551;0.0;2.0;0.0;0.0;0.4;2.0;3.0;99.0;5.0;1.0;0.0;3.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8719;2НДФЛ;Ремонт;1.0;0.19;мужской;0;0;среднее-специальное;рабочий;>250;0.0;82.0;28.0;Торговля;ООО;холост / не замужем;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333;1.0;2.0;36.0;3.0;0.0;0.0;19.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8720;2НДФЛ;Покупка мебели;1.0;0.45;мужской;1;0;высшее;специалист;>=200;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8721;2НДФЛ;Покупка автомобиля;1.0;0.49;мужской;0;0;высшее;специалист;>250;0.0;17.0;26.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
